,format,metric,year,number_of_records,value_actual
846,CD,Value,1973,1,
847,CD,Value,1974,1,
848,CD,Value,1975,1,
849,CD,Value,1976,1,
850,CD,Value,1977,1,
851,CD,Value,1978,1,
852,CD,Value,1979,1,
853,CD,Value,1980,1,
854,CD,Value,1981,1,
855,CD,Value,1982,1,
856,CD,Value,1983,1,17.2
857,CD,Value,1984,1,103.3
858,CD,Value,1985,1,389.5
859,CD,Value,1986,1,930.1
860,CD,Value,1987,1,1593.6
861,CD,Value,1988,1,2089.9
862,CD,Value,1989,1,2587.7
863,CD,Value,1990,1,3451.6
864,CD,Value,1991,1,4337.7
865,CD,Value,1992,1,5326.5
866,CD,Value,1993,1,6511.4
867,CD,Value,1994,1,8464.5
868,CD,Value,1995,1,9377.4
869,CD,Value,1996,1,9934.7
870,CD,Value,1997,1,9915.1
871,CD,Value,1998,1,11416.0
872,CD,Value,1999,1,12816.3
873,CD,Value,2000,1,13214.5
874,CD,Value,2001,1,12909.4
875,CD,Value,2002,1,12044.1
876,CD,Value,2003,1,11232.9
877,CD,Value,2004,1,11446.5
878,CD,Value,2005,1,10520.2
879,CD,Value,2006,1,9372.6
880,CD,Value,2007,1,7452.3
881,CD,Value,2008,1,5471.3
882,CD,Value,2009,1,4318.8
883,CD,Value,2010,1,3389.4
884,CD,Value,2011,1,3100.7
885,CD,Value,2012,1,2485.614699086
886,CD,Value,2013,1,2140.917718167
887,CD,Value,2014,1,1776.249323795
888,CD,Value,2015,1,1444.993193529
889,CD,Value,2016,1,1130.764650638
890,CD,Value,2017,1,1057.323090205
891,CD,Value,2018,1,698.386637244
892,CD,Value,2019,1,614.509779894
