,Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK
2,Nissan Leaf ,Battery Electric Vehicle |       36 kWh ,7.9 sec,144 km/h,220 km,164.0,230 km/h,Front Wheel Drive,5,29990.0,25995.0
4,Porsche Taycan Turbo S,Battery Electric Vehicle |       83.7 kWh,2.8 sec,260 km/h,390 km,215.0,860 km/h,All Wheel Drive,4,186336.0,138830.0
5,Nissan e-NV200 Evalia ,Battery Electric Vehicle |       36 kWh ,14.0 sec,123 km/h,165 km,218.0,170 km/h,Front Wheel Drive,7,43433.0,30255.0
6,Volkswagen ID.3 Pure Performance,Battery Electric Vehicle |       45 kWh,8.9 sec,160 km/h,275 km,164.0,260 km/h,Rear Wheel Drive,5,31960.0,27120.0
7,BMW iX3 ,Battery Electric Vehicle |       74 kWh,6.8 sec,180 km/h,385 km,192.0,520 km/h,Rear Wheel Drive,5,66300.0,58850.0
8,Nissan Leaf e+,Battery Electric Vehicle |       56 kWh ,7.3 sec,157 km/h,325 km,172.0,390 km/h,Front Wheel Drive,5,38350.0,30445.0
9,BMW i3 120 Ah,Battery Electric Vehicle |       37.9 kWh,7.3 sec,150 km/h,235 km,161.0,270 km/h,Rear Wheel Drive,4,39000.0,31305.0
10,Mercedes EQA 250,Battery Electric Vehicle |       66.5 kWh,8.9 sec,160 km/h,355 km,187.0,420 km/h,Front Wheel Drive,5,47541.0,43495.0
11,DS 3 Crossback E-Tense,Battery Electric Vehicle |       45 kWh ,8.7 sec,150 km/h,250 km,180.0,330 km/h,Front Wheel Drive,5,30040.0,31500.0
12,BMW i3s 120 Ah,Battery Electric Vehicle |       37.9 kWh,6.9 sec,160 km/h,230 km,165.0,260 km/h,Rear Wheel Drive,4,42600.0,32305.0
14,Audi e-tron GT RS,Battery Electric Vehicle |       85 kWh,3.3 sec,250 km/h,405 km,210.0,810 km/h,All Wheel Drive,4,138200.0,110950.0
16,Renault Zoe ZE50 R110,Battery Electric Vehicle |       52 kWh,11.4 sec,135 km/h,315 km,165.0,230 km/h,Front Wheel Drive,5,31990.0,26795.0
17,Hyundai IONIQ Electric,Battery Electric Vehicle |       38.3 kWh,9.7 sec,165 km/h,250 km,153.0,220 km/h,Front Wheel Drive,5,35350.0,30550.0
19,Tesla Roadster ,Battery Electric Vehicle |       200 kWh ,2.1 sec,410 km/h,970 km,206.0,920 km/h,All Wheel Drive,4,215000.0,189000.0
20,Peugeot e-208 ,Battery Electric Vehicle |       45 kWh ,8.1 sec,150 km/h,275 km,164.0,370 km/h,Front Wheel Drive,5,30450.0,27225.0
21,Honda e ,Battery Electric Vehicle |       28.5 kWh ,9.0 sec,145 km/h,170 km,168.0,190 km/h,Rear Wheel Drive,4,33850.0,27660.0
22,CUPRA Born 110 kW - 55 kWh,Battery Electric Vehicle |       45 kWh,8.9 sec,160 km/h,275 km,164.0,440 km/h,Rear Wheel Drive,5,32700.0,28500.0
23,Audi Q4 e-tron 35,Battery Electric Vehicle |       51.5 kWh,9.0 sec,160 km/h,280 km,184.0,390 km/h,Rear Wheel Drive,5,41900.0,40750.0
24,Tesla Model Y Long Range Dual Motor,Battery Electric Vehicle |       76 kWh ,5.1 sec,217 km/h,450 km,169.0,750 km/h,All Wheel Drive,7,59965.0,54000.0
25,Tesla Model Y Performance,Battery Electric Vehicle |       76 kWh ,3.7 sec,241 km/h,430 km,177.0,720 km/h,All Wheel Drive,7,66965.0,60000.0
26,Porsche Taycan 4 Cross Turismo,Battery Electric Vehicle |       83.7 kWh,5.1 sec,220 km/h,405 km,207.0,850 km/h,All Wheel Drive,4,93635.0,79340.0
30,Opel Corsa-e ,Battery Electric Vehicle |       45 kWh ,8.1 sec,150 km/h,275 km,164.0,370 km/h,Front Wheel Drive,5,29000.0,27140.0
31,MG ZS EV,Battery Electric Vehicle |       42.5 kWh ,8.2 sec,140 km/h,220 km,193.0,260 km/h,Front Wheel Drive,5,31990.0,25995.0
