year,format,metric,year,number_of_records,value_actual
1973,LP/EP,Value,1973,1,1246.0
1974,LP/EP,Value,1974,1,1356.0
1975,LP/EP,Value,1975,1,1485.0
1976,LP/EP,Value,1976,1,1663.0
1977,LP/EP,Value,1977,1,2195.1
1978,LP/EP,Value,1978,1,2473.3
1979,LP/EP,Value,1979,1,2057.0
1980,LP/EP,Value,1980,1,2200.0
1981,LP/EP,Value,1981,1,2341.7
1982,LP/EP,Value,1982,1,1925.1
1983,LP/EP,Value,1983,1,1689.0
1984,LP/EP,Value,1984,1,1548.8
1985,LP/EP,Value,1985,1,1280.5
1986,LP/EP,Value,1986,1,983.0
1987,LP/EP,Value,1987,1,793.1
1988,LP/EP,Value,1988,1,532.2
1989,LP/EP,Value,1989,1,220.3
1990,LP/EP,Value,1990,1,86.5
1991,LP/EP,Value,1991,1,29.4
1992,LP/EP,Value,1992,1,13.5
1993,LP/EP,Value,1993,1,10.6
1994,LP/EP,Value,1994,1,17.8
1995,LP/EP,Value,1995,1,25.1
1996,LP/EP,Value,1996,1,36.8
1997,LP/EP,Value,1997,1,33.3
1998,LP/EP,Value,1998,1,34.0
1999,LP/EP,Value,1999,1,31.8
2000,LP/EP,Value,2000,1,27.7
2001,LP/EP,Value,2001,1,27.4
2002,LP/EP,Value,2002,1,20.5
2003,LP/EP,Value,2003,1,21.7
2004,LP/EP,Value,2004,1,19.3
2005,LP/EP,Value,2005,1,14.2
2006,LP/EP,Value,2006,1,15.7
2007,LP/EP,Value,2007,1,22.9
2008,LP/EP,Value,2008,1,56.7
2009,LP/EP,Value,2009,1,63.8
2010,LP/EP,Value,2010,1,88.9
2011,LP/EP,Value,2011,1,119.4
2012,LP/EP,Value,2012,1,160.723058291
2013,LP/EP,Value,2013,1,210.739051034
2014,LP/EP,Value,2014,1,243.84684834
2015,LP/EP,Value,2015,1,333.379793112
2016,LP/EP,Value,2016,1,355.430890954
2017,LP/EP,Value,2017,1,388.511108168
2018,LP/EP,Value,2018,1,419.223946961
2019,LP/EP,Value,2019,1,497.588920842
